ï»¿id|faction_id|name|legend|description|detachment|detachment_id|
000008563|AdM|Benedictions Of The Omnissiah|The Tech-Priests of the Omnissiah lead their disciples in a cortege of war. The buzz of static psalms chanted in synchronicity unites all in the stately eradication of the heretic and blasphemer.|At the start of the first <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, select one of the following Benedictions of the Omnissiah to be active for <span class="tooltip00501" data-tooltip-content="#tooltip_content00501" data-tooltip-anchor="#tooltip_content00501"><span class="kwb kwbu">CULT</span> <span class="kwb kwbu">MECHANICUS</span></span> units from your army until the end of the battle:<br><br><span class="hi_custom">Panegyric Procession</span><br>Each time a <span class="kwb">CULT</span> <span class="kwb">MECHANICUS</span> model from your army makes a ranged attack that targets a unit within half range, improve the Armour Penetration characteristic of that attack by 1.<br><br><span class="hi_custom">Citation in Savagery</span><br>Each time a <span class="kwb">CULT</span> <span class="kwb">MECHANICUS</span> unit from your army is selected to fight, if that unit made a <span class="tooltip00033" data-tooltip-content="#tooltip_content00033"><span class="tt kwbu">Charge</span> <span class="tt kwbu">move</span></span> this turn, until the end of the phase, add 1 to the Strength and Attacks characteristics of melee weapons equipped by models in that unit.|Data-Psalm Conclave|000000821|
000008567|AdM|Acquisition At Any Cost|In their eternal quest for the acquisition of knowledge and technology, Tech-Priests require superhuman efforts from the troops under their command.|At the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one <span class="tooltip00064" data-tooltip-content="#tooltip_content00064"><span class="tt kwbu">objective</span> <span class="tt kwbu">marker</span></span>. Until the start of your next Command phase, that objective marker is your Acquisition objective marker. Each time an <span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> model from your army makes an attack, if that modelâs unit is within range of your Acquisition objective marker, or if the target of that attack is within range of your Acquisition objective marker, re-roll a <span class="tooltip00006" data-tooltip-content="#tooltip_content00006"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span> of 1.|Explorator Maniple|000000822|
000008571|AdM|Cyber-Psalm Programming|In advance of a Cohort Cyberneticas battles, the Legios most talented Datasmiths will feed dogmatic auto-scripture into the programming cores of their robotic charges, as well as oracular schematics and tactical hymnals that delineate the strategy to come. So blessed, the Cohorts robots add their own grinding chants of static to a systematic chorus of praise in the Omnissiahâs name.|Add 2" to the Move characteristic of models in <span class="tooltip00502" data-tooltip-content="#tooltip_content00502" data-tooltip-anchor="#tooltip_content00502"><span class="kwb kwbu">LEGIO</span> <span class="kwb kwbu">CYBERNETICA</span></span> units from your army. In addition, unless that unit is <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shocked</span></span>, add 1 to the Objective Control characteristic of models in that unit.|Cohort Cybernetica|000000823|
000009280|AdM|Overload Machine Spirits|In extremis, Tech-Magi will commit the lesser sin of goading lower-order machine spirits to devastating madness in order to protect greater prizes.|Each time an <span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> unit from your army is selected to shoot, it can use this ability. If it does, until the end of the phase, improve the Armour Penetration characteristic of ranged weapons equipped by models in that unit by 1 and those weapons have the <span class="kwb2 bluefont"><span class="tooltip00034" data-tooltip-content="#tooltip_content00034"><span class="tt kwbu">[HAzARDOUS]</span></span></span> ability.|Electromartyrs|000000912|
000009289|AdM|Procedural Elimination|Triangulating via their fellow squads and any compliant shipboard augurs, the Skitarii hone their targeting data and overlap fields of fire.|At the start of the <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, select either melee attacks or ranged attacks. Until the end of the battle round, each time a <span class="tooltip00459" data-tooltip-content="#tooltip_content00459" data-tooltip-anchor="#tooltip_content00459"><span class="kwb kwbu">SKITARII</span></span> model from your army makes an attack of the selected type, re-roll a <span class="tooltip00031" data-tooltip-content="#tooltip_content00031"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of l.|Response Clade|000000913|
000009297|AdM|Canticles of the Omnissiah|Chanting avidly in blaring binharic, the servants of the Omnissiah surge into battle as though possessed by wrathful datagheists.|Add 1 to <span class="tooltip00230" data-tooltip-content="#tooltip_content00230"><span class="tt kwbu">Advance</span> <span class="tt kwbu">rolls</span></span>, <span class="tooltip00033" data-tooltip-content="#tooltip_content00033"><span class="tt kwbu">Charge</span> <span class="tt kwbu">rolls</span></span> and <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">tests</span></span> taken for <span class="tooltip00420" data-tooltip-content="#tooltip_content00420" data-tooltip-anchor="#tooltip_content00420"><span class="kwb kwbu">TECH-PRIEST</span></span> and <span class="tooltip00417" data-tooltip-content="#tooltip_content00417" data-tooltip-anchor="#tooltip_content00417"><span class="kwb kwbu">ELECTRO-PRIESTS</span></span> units from your army.|Machine Cult|000000914|
000009744|AdM|Noospheric Transference|Tech-Priests can override the will of their thralls and project martial data inloads into the minds of their warriors, blessing the soldiery with endless streams of precisely tailored binharic code.|In your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one or more <span class="kwb">ADEPTUS</span> <span class="kwb">MECHANICUS</span> units from your army (including units that are <span class="tooltip00026" data-tooltip-content="#tooltip_content00026"><span class="tt kwbu">embarked</span></span> within <span class="tooltip00507" data-tooltip-content="#tooltip_content00507" data-tooltip-anchor="#tooltip_content00507"><span class="kwb kwbu">TRANSPORTS</span></span>). The maximum number of units you can select depends on the battle size, as follows:<br><br><div class="BreakInsideAvoid"  style="""><table border="0" bordercolor="#888" cellpadding="4" cellspacing="0" style="border-collapse:collapse;border-width:0px"><tbody><tr><td><table class=" customTable tablefont" border="1" bordercolor="#888" cellpadding="4" style="border-collapse:collapse;border-color:#888888;border-width:0px"><tbody><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:bottom;font-size:24px;width:147px;height:0px;"><b>INCURSION:</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:bottom;font-size:24px;width:87px;height:0px;"><b>1 UNIT</b></td></tr><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:bottom;font-size:24px;width:147px;height:0px;"><b>STRIKE FORCE</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:bottom;font-size:24px;width:87px;height:0px;"><b>2 UNITS</b></td></tr><tr><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:bottom;font-size:24px;width:147px;height:0px;"><b>ONSLAUGHT</b></td><td style="border-width:0 0 0 0;border-style:none none none none;vertical-align:bottom;font-size:24px;width:87px;height:0px;"><b>3 UNITS</b></td></tr></tbody></table></td></tr></tbody></table></div><br>Until the start of your next Command phase, those units gain the <span class="kwb">HALO</span> <span class="kwb">OVERRIDE</span> keyword. Then, select one of the Override abilities below. Until the start of your next Command phase, units from your army with the <span class="kwb">HALO</span> <span class="kwb">OVERRIDE</span> keyword have the selected Override ability:<br><br><span class="h_custom">Electromotive Energisation</span><br>Add 2" to the Move characteristic of models in this unit.<br><br><span class="h_custom">Microactuator Bracing</span><br>Add 1 to the Toughness characteristic of models in this unit.<br><br><span class="h_custom">Predation Protocols</span><br>This unit is eligible to <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which it <span class="tooltip00230" data-tooltip-content="#tooltip_content00230"><span class="tt kwbu">Advanced</span></span>.<br><br><span class="h_custom">Muted Servomotors</span><br>Models in this unit have the <span class="tooltip00496" data-tooltip-content="#tooltip_content00496"><span class="tt kwbu">Stealth</span></span> ability.|Haloscreed Battle Clade|000000984|
000009324|AE|Unerring Strike|Once loosed at their target, the warriors who make up the Arrow of Khaine focus all of their attentions upon their singular target, â[hey move with all the balletic speed of their people, and let nothing slow their attack.|In your <a href="/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase">Movement phase</a>, each time an <span class="kwb">AELDARI</span> unit from your army makes a <span class="tooltip00221" data-tooltip-content="#tooltip_content00221"><span class="tt kwbu">Normal</span> <span class="tt kwbu">move</span></span>, while making that move it can attempt to operate a closed <a href="/wh40k10ed/the-rules/boarding-action-rules/#Terrain">Hatchway</a> that is within 1" of it at any point during that move, provided there are no enemy units within 1" of that Hatchway. If that <span class="kwb">AELDARI</span> unit does attempt to operate that Hatchway, reduce the distance each model in that unit can move this phase by 2" (if this makes it impossible for that unit to gel within 1" of that Hatchway it wishes to operate, then it cannot attempt to do so), and it cannot <a href="/wh40k10ed/the-rules/boarding-action-rules/#Open-Hatchways">operate a Hatchway</a> again this turn.|Khaineâs Arrow|000000919|
000009333|AE|Determined Defence|All too aware of the value of that which they defend, these warriors fight harder than ever, weaving around incoming enemy fire and shrugging off wounds that might otherwise see them laid low.|Each time an attack targets a <span class="tooltip00526" data-tooltip-content="#tooltip_content00526" data-tooltip-anchor="#tooltip_content00526"><span class="kwb kwbu">GUARDIANS</span></span> or <a class="kwbOne" href="/wh40k10ed/factions/aeldari/Dire-Avengers"><span class="kwb kwbo">DIRE</span> <span class="kwb kwbo">AVENGERS</span></a> unit from your army, if that unit is within range of an <a href="/wh40k10ed/the-rules/boarding-action-rules/#Objective-Markers">objective marker</a>, add 1 to any armour <span class="tooltip00032" data-tooltip-content="#tooltip_content00032"><span class="tt kwbu">saving</span> <span class="tt kwbu">throw</span></span> made against that attack.|Protector Host|000000920|
000009341|AE|Wraith-Marked|By harnessing and binding ethereal energies to strategically significant sites, this force is able to create spiritual waypoints that shine like beacons to the ghost warriorsâ perceptions.|In your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, you can select one <span class="kwb">AELDARI</span> unit from your army within range of an <a href="/wh40k10ed/the-rules/boarding-action-rules/#Objective-Markers">objective marker</a> you control. That unit must take a <span class="tooltip00509" data-tooltip-content="#tooltip_content00509"><span class="tt kwbu">Leadership</span> <span class="tt kwbu">test</span></span>, subtracting 2 from the result if it has the <span class="tooltip00267" data-tooltip-content="#tooltip_content00267" data-tooltip-anchor="#tooltip_content00267"><span class="kwb kwbu">WRAITH</span> <span class="kwb kwbu">CONSTRUCT</span></span> keyword: if passed, that objective marker is <a href="/wh40k10ed/the-rules/boarding-action-rules/#SEIZING-AND-SECURING-OBJECTIVE-MARKERS">Secured</a> by your army.|Wraiths of the Void|000000921|
000009350|AE|FaolchÃºâs Last Flight|Even should they be struck down by the foe, the players remain in character, embodying in their final steps the doomed but deadly fall of winged Faolchii.|Each time an <span class="kwb">AELDARI</span> model from your army is <span class="tooltip00206" data-tooltip-content="#tooltip_content00206"><span class="tt kwbu">destroyed</span></span> by a melee attack, if it has not fought this phase, roll one D6: on a 3+, do not remove it from play. The destroyed model can fight after the attacking modelâs unit has finished making its attacks, and is then removed from play.|Star-dancer Masque|000000922|
000009768|AE|Skilled Crews|Asuryani vehicle crews are amongst the galaxyâs most naturally gifted pilots and gunners. They can coax every last iota of performance from the formidable machines and weapon systems under their control.|Ranged weapons equipped by <span class="tooltip00242" data-tooltip-content="#tooltip_content00242" data-tooltip-anchor="#tooltip_content00242"><span class="kwb kwbu">AELDARI</span> <span class="kwb kwbu">VEHICLE</span></span> models from your army have the <span class="kwb2 bluefont"><span class="tooltip00217" data-tooltip-content="#tooltip_content00217"><span class="tt kwbu">[ASSAULT]</span></span></span> ability and you can re-roll <span class="tooltip00230" data-tooltip-content="#tooltip_content00230"><span class="tt kwbu">Advance</span> <span class="tt kwbu">rolls</span></span> made for <span class="tooltip00696" data-tooltip-content="#tooltip_content00696" data-tooltip-anchor="#tooltip_content00696"><span class="kwb kwbu">AELDARI</span> <span class="kwb kwbu">VEHICLE</span> <span class="kwb kwbu">FLY</span></span> units from your army.|Armoured Warhost|000000990|
000009898|AE|Martial Grace|Every element of a Warhost operates with speed and efficiency, units swirling around one another in an agile storm of blades and tightly controlled ferocity. The Aeldari know precisely where they must be at any given stage of the battle plan and move with inhuman elegance that leaves their enemies reeling in their wake.|<ul><li>At the start of the <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, you receive 1 additional <span class="tooltip00398" data-tooltip-content="#tooltip_content00398"><span class="tt kwbu">Battle</span> <span class="tt kwbu">Focus</span> <span class="tt kwbu">token</span></span>.</li><li>Each time a unit from your army performs the <span class="tooltip00697" data-tooltip-content="#tooltip_content00697"><span class="tt kwbu">Swift</span> <span class="tt kwbu">as</span> <span class="tt kwbu">the</span> <span class="tt kwbu">Wind</span></span> Agile Manoeuvre, until the end of the phase, add an additional 1" to the Move characteristic of models in that unit.</li><li>Each time a unit from your army performs an Agile Manoeuvre that involves rolling a D6, add 1 to the result.</li></ul>|Warhost|000001017|
